X_1,X_2,X_3,X_4,X_5,Y,E
0.3907,3.65,0.12,0.0296,0.0128,0.05,4
0.7507,5.66,0.12,0.0396,0.0328,0.08,1
0.6007,5.4,0.21,0.0296,0.0328,0.05,4
0.6207,6.22,0.16,0.0396,0.0428,0.12,1
0.6307,5.35,0.12,0.0396,0.0328,0.05,1
0.8907,5.74,0.15,0.1096,0.1428,0.19,4
0.8107,5.29,0.25,0.0796,0.0428,0.16,1
0.4707,4.62,0.07,0.0296,0.0228,0.05,1
0.8507,5.83,0.2,0.0596,0.0528,0.13,4
0.7407,4.97,0.1,0.0396,0.0428,0.12,4
0.9307,5.78,0.15,0.0396,0.0428,0.07,4
0.6507,4.06,0.11,0.0396,0.0328,0.1,1
0.6007,5.83,0.16,0.0296,0.0328,0.06,1
0.7007,5.2,0.03,0.0296,0.0528,0.05,4
0.7107,5.02,0.13,0.0396,0.0528,0.09,4
0.8707,7.13,0.28,0.0596,0.0428,0.08,3
0.9307,6.37,0.16,0.0596,0.0428,0.13,1
0.6707,3.61,0.38,0.0296,0.0328,0.08,1
0.7907,4.6,0.18,0.0296,0.0828,0.05,1
0.8707,7.47,0.21,0.0496,0.1528,0.05,1
0.9407,6.06,0.22,0.0496,0.0828,0.07,1
0.8207,4.6,0.2,0.0296,0.1128,0.07,1
1.3707,7.97,0.3,0.0396,0.2828,0.14,1
1.2507,6.42,0.35,0.0396,0.1228,0.09,1
0.9007,5.57,0.28,0.0396,0.1728,0.04,1
0.7507,3.95,0.11,0.0396,0.0828,0.06,1
0.5807,4.57,0.07,0.0496,0.1028,0.04,1
